Topic,Sub-Topic,Flashcard,Answer,Question,Difficulty level,Option A,Option B,Option C,Option D,Key,Explanation
,,,,"A company distributes 111 laptops among four departments: Sales, Marketing, HR, and IT. The ratio of laptops for Sales to Marketing is 1:2, Marketing to HR is 3:4, and HR to IT is 2:5. How many laptops does the Marketing department receive?",Hard,16,18,17,19,Option B,"Let Sales = x, Marketing = 2x (from Sales:Marketing = 1:2)
Marketing:HR = 3:4 → 2x:HR = 3:4 → HR = (4 × 2x)/3 = 8x/3
HR:IT = 2:5 → 8x/3 : IT = 2:5 → IT = (5 × 8x/3)/2 = 20x/3
Sum = x + 2x + 8x/3 + 20x/3 = (3x + 6x + 8x + 20x)/3 = 37x/3 = 111 → x = 9
Marketing = 2x = 18"
,,,,,,,,,,,
Mixtures and Allegations,Mixtures and Allegations,Do you know how to find the mean price of a mixture when two or more items are mixed?,"When items are mixed, the cost price or percentage of the mixture is the weighted average of the items.
Formula:
Mean Price of Mixture = (Quantity of Item 1 × Price of Item 1 + Quantity of Item 2 × Price of Item 2) ÷ Total Quantity

Example: Mix 5 kg of rice at Rs. 40/kg with 10 kg at Rs. 50/kg → Mean Price = (5×40 + 10×50)/15 = Rs. 46.67/kg",A shopkeeper mixes 2 kg of sugar costing 20 rupees per kg with 3 kg of sugar costing 30 rupees per kg. What is the price per kg of the mixture?,Easy,40,26,20,25,Option B,"Total cost = 2 kg times 20 + 3 kg times 30 = 40 + 90 = 130 rupees
Total quantity = 2 + 3 = 5 kg
Price per kg = total cost / total quantity = 130/5 = 26"
,,,,5 liters of milk at 40 rupees per liter is mixed with 15 liters of milk at 60 rupees per liter. Find the price of the mixture per liter.,Medium,12,24,84,55,Option D,"Total cost = 5 times 40 + 15 times 60 = 200 + 900 = 1100 rupees
Total quantity = 5 + 15 = 20 liters
Price per liter = 1100 divided by 20 = 55"
,,,,A goldsmith mixes 400 g of gold of 18 carat with 600 g of gold of 24 carat. What is the carat value of the resulting mixture?,Hard,18,20,21.6,25,Option C,"Total weight = 400 + 600 = 1000 g
Total carat value sum = 400 times 18 + 600 times 24 = 7200 + 14400 = 21600
Average carat = total carat value divided by total weight = 21600 divided by 1000 = 21.6 carat"
,,Do you know the rule of alligation and how to use it to find the ratio of two items in a mixture?,"The rule of alligation is a shortcut to find the ratio in which two items must be mixed to get a desired mean value.

Formula
Ratio of quantities = (Costlier price - Mean price) : (Mean price - Cheaper price)

Example: Mix milk at Rs. 60/l and Rs. 40/l to get Rs. 50/l → Ratio = (60−50):(50−40) = 10:10 = 1:1",In what ratio must sugar worth 30 per kg be mixed with sugar worth 50 per kg to get a mixture worth 40 per kg?,Easy,1:1,1:2,2:1,1:4,Option A,"Step 1: P1 = 30, P2 = 50, M = 40
Step 2: A = P2 - M = 50 - 40 = 10
B = M - P1 = 40 - 30 = 10
Step 3: Ratio (cheap : costly) = A : B = 10 : 10 = 1 : 1"
,,,,A shopkeeper mixes tea worth 200 per kg with tea worth 280 per kg. In what ratio must they be mixed to get a mixture worth 250 per kg?,Medium,3:2,2:3,3:5,5:3,Option C,"Step 1: P1 = 200, P2 = 280, M = 250
Step 2: A = P2 - M = 280 - 250 = 30
B = M - P1 = 250 - 200 = 50
Step 3: Ratio (200 : 280) = A : B = 30 : 50 = simplify divide by 10 = 3 : 5"
,,,,"A shopkeeper, Mr. Sharma, sells pure milk at ₹40 per litre. To increase his profit, he mixes it with water. He wants to prepare a mixture that can be sold at ₹32 per litre. In what ratio should Mr. Sharma mix milk and water to achieve this price?",Hard,4:1,1:4,3:4,4:3,Option A,"P1 = 0 (water), P2 = 40 (milk), M = 32
Step 2: A = P2 - M = 40 - 32 = 8
B = M - P1 = 32 - 0 = 32
Step 3: Ratio (water : milk) = A : B = 8 : 32 = 1 : 4
Interpretation: water : milk = 1 : 4, or milk : water = 4 : 1."
,,Do you know what happens to a mixture when a part is removed and replaced with another substance?,"The concentration of the mixture changes when a part is removed and replaced.

Used in problems related to replacement or dilution.

Example: 10 L of milk is replaced with 2 L water → new concentration of milk decreases.",A container has 40 liters of milk. 4 liters are removed and replaced with water once. How much milk is left,Easy,35,36,37,39,Option B,"Fraction left each time = (1 - 4/40) = 36/40 = 0.9
Milk left = 40 * 0.9 = 36 liters"
,,,,A container has 60 liters of milk. 12 liters are removed and replaced with water. The same is repeated once more. How much milk remains?,Medium,32,34,35.6,38.4,Option D,"Fraction left = (1 - 12/60) = 48/60 = 0.8
After 2 times = 60 * (0.8)^2 = 60 * 0.64 = 38.4 liters"
,,,,"Ravi owns a sweet shop and has a container filled with 100 liters of pure milk. To make the milk last longer, he removes 10 liters of the mixture and replaces it with water. He repeats this process three times. How many liters of milk will remain in the container at the end?",Hard,72.9,88,100,102,Option A,"Fraction left = (1 - 10/100) = 90/100 = 0.9
After 3 times = 100 * (0.9)^3 = 100 * 0.729 = 72.9 liters"
,,,,,,,,,,,
Permutations and Combinations,Basics ,Do you know how to calculate the number of arrangements when repetition is allowed?,"When repetition is allowed, each position in the arrangement can be filled independently from the same set of choices.

If there are n distinct choices and r places, the total number of arrangements is n * n * ... * n (r times) = n^r.

Example: 3-digit passwords using digits 0,1,2 → Total arrangements = 3^3 = 27","How many 2-digit numbers can be formed using digits 3, 4, 5 when repetition is allowed?",Easy,9,10,11,12,Option A,"Given 2-digit numbers can be formed using digits 3, 4, 5 when repetition is allowed. Here,
Here, n = 3 digits, r = 2 places. Number = 3^2 = 9."
,,,,"How many 4-digit numbers can be formed using digits 2, 3, 5, 7, 9 when repetition is allowed?",Medium,630,640,625,680,Option C,"Given 4-digit numbers can be formed using digits 2, 3, 5, 7, 9 when repetition is allowed, Here
n = 5, r = 4. Number = 5^4 = 5 * 5 * 5 * 5 = 625.
Answer: 625"
,,,,"How many 3-digit even numbers can be formed using digits 1, 2, 3, 4, 5, 6 when repetition is allowed?",Hard,770,660,340,108,Option D,"For a 3-digit even number, the last digit must be even: choices for last = {2, 4, 6} = 3 choices.

First digit (hundreds) can be any of the 6 digits (1 to 6) because none is zero here = 6 choices.

Middle digit (tens) can be any of the 6 digits (repetition allowed) = 6 choices.

Total = first * middle * last = 6 * 6 * 3 = 108.
Answer: 108"
,,Do you know how to calculate the number of arrangements when repetition is not allowed?,"When repetition is not allowed, once you use an element it cannot be used again. So the number of choices decreases by one for each subsequent position.

Fill positions left to right: first position has n choices, second has (n - 1), third has (n - 2), and so on for r positions. Multiply them: n * (n - 1) * ... * (n - r + 1).

This product is the same as n! / (n - r)!.

Example: 3-digit numbers using 1,2,3,4 → Total arrangements = 4 × 3 × 2 = 24","How many 3-digit numbers can be formed using digits 1, 2, 3, 4 without repetition?",Easy,55,44,34,24,Option D,"Given 3-digit numbers can be formed using digits 1, 2, 3, 4 without repetition
n = 4, r = 3 → P(4, 3) = 4 * 3 * 2 = 24."
,,,,"How many 5-digit numbers can be formed using digits 1, 2, 3, 4, 5 without repetition?",Medium,120,240,360,400,Option A,"Given 5-digit numbers can be formed using digits 1, 2, 3, 4, 5 without repetition
Here 
n = 5, r = 5 → P(5, 5) = 5! = 5 * 4 * 3 * 2 * 1 = 120
Answer: 120"
,,,,"How many 4-digit numbers can be formed from digits 0, 1, 2, 3, 4 without repetition?",Hard,70,80,96,100,Option C,"Thousands (first) digit cannot be 0. So choices for first digit = {1,2,3,4} = 4 choices.

After choosing first, we have 4 remaining digits for second, then 3 for third, then 2 for fourth. So the remaining product = 4 * 3 * 2 = 24.

Total = first * remaining = 4 * 24 = 96.
Alternatively P(5,4) substract those with 0 first: P(5,4) = 543*2 = 120; those with 0 first = fix 0 first then arrange remaining 4 in 3 places = 1 * P(4,3) = 24; so 120 - 24 = 96.
Answer: 96"
,,"Do you know how to handle extra conditions in permutation problems like divisibility, must start with odd, or must exclude a digit?","Many permutation problems add extra conditions (divisibility, must start with odd, must be even, must contain or exclude a digit). These are handled by breaking the problem into cases that satisfy the restriction, counting each case, then adding.

Techniques: fix the restricted position first (for example last digit if divisible by 2 or 5), then count permutations of the remaining positions with/without repetition as required. Be careful about leading zero.

Use complementary counting when easier: count total arrangements then subtract arrangements that violate the condition.

Example: 3-digit numbers divisible by 5 using 1,2,5 → last digit must be 5, first two digits permuted → 2! = 2 arrangements.","How many 3-digit numbers can be formed using digits 2, 4, 6, 8 such that all digits are even and no repetition?",Easy,15,20,25,24,Option D,"We need ordered arrangements of 3 distinct digits chosen from 4. That is P(4, 3) = 4 * 3 * 2 = 24.
Answer: 24"
,,,,"How many 4-digit numbers can be formed using digits 1, 2, 3, 4, 5 if the number must begin with an odd digit and repetition is not allowed?",Medium,60,90,72,180,Option C,"First digit choices (odd) = {1, 3, 5} = 3 choices.

Remaining 3 places to fill from the remaining 4 digits (after picking the first) in order = P(4, 3) = 4 * 3 * 2 = 24.

Total = 3 * 24 = 72.
Answer: 72"
,,,,"How many 4-digit numbers divisible by 5 can be formed using digits 0, 2, 4, 5, 7, 8 without repetition?",Hard,108,99,77,121,Option A,"Case A: last digit = 0

Remaining digits available = {2, 4, 5, 7, 8} (5 digits). First digit (thousands) cannot be 0 (but 0 is already used as last), so first choices = 5.

Middle two places then come from the remaining 4 digits in order = P(4, 2) = 4 * 3 = 12.

Case A count = 5 * 12 = 60.

Case B: last digit = 5

Remaining digits available = {0, 2, 4, 7, 8} (5 digits). First digit cannot be 0, so first choices = 4 (2, 4, 7, 8).

Middle two places from the remaining 4 digits in order = P(4, 2) = 12.

Case B count = 4 * 12 = 48.

Total = Case A + Case B = 60 + 48 = 108.
Answer: 108"
,,,,,,,,,,,
,Permutations,Do you know how many ways n different objects can be arranged?,"When n different objects are arranged, the number of ways = n!

Example: Arrange 3 letters A, B, C → Total ways = 3! = 6 → ABC, ACB, BAC, BCA, CAB, CBA",How many ways can the letters of the word CAT be arranged?,Easy,12,16,8,6,Option D,"Number of letters = 3
Ways = 3! = 6"
,,,,"At a birthday party, five friends — Amit, Bhavna, Chirag, Divya, and Eshan — are waiting to sit for a group photo. There are 5 chairs arranged in a single row, and all of them need to sit down. In how many different ways can these five friends be seated in the row?",Medium,120,600,120,360,Option C,"There are 5 chairs arranged in a single row, and all of them need to sit down. In different ways can these five friends be seated in the row is:
Number of arrangements = 5! = 120"
,,,,"Emma is making a puzzle game using city names. She picks the word “LONDON” and challenges her friends: “If we jumble up the letters of this word, how many different unique arrangements can we form?” Can you figure out the total number of distinct ways the letters of LONDON can be arranged?",Hard,480,180,640,720,Option B,"Total letters = 6
But letters O and N repeat twice.
Arrangements = 6! / (2! × 2!) = 720 / 4 = 180"
,,Do you know how to calculate the number of ways to arrange objects in a circle?,"Arranging objects in a circle.
Formula:
For n objects in a circle: (n – 1)!
If clockwise and anticlockwise are same: (n – 1)! / 2

Example: Arrange 4 people in a circle → (4 − 1)! = 3! = 6 ways
If clockwise = anticlockwise → 3! / 2 = 3 ways",In how many ways can 5 people sit around a circular table?,Easy,6,12,18,24,Option D,Fix one person to break rotation. Arrange the remaining 4 in order: 4! = 24.
,,,,In how many ways can 6 friends sit around a circular table if clockwise and anticlockwise arrangements are considered the same?,Medium,100,15,20,60,Option D,"As 6 friends sit around a circular table if clockwise and anticlockwise arrangements are considered the same:
Formula = (n – 1)! / 2
= (6 – 1)! / 2 = 120 / 2 = 60"
,,,,In how many ways can 7 persons be seated around a round table if two particular persons must always sit together?,Hard,225,350,450,240,Option D,"Treat the 2 persons as a single unit → now 6 units in a circle.
Ways = (6 – 1)! = 5! = 120
But the 2 persons can sit together in 2 ways (swap seats).
Total = 120 × 2 = 240"
,,"Do you know how to handle arrangements with conditions, like items that must stay together or must not stay together?","Arrangements with conditions means arranging objects when some rules apply.

If items must stay together, treat them as one block.

If items must not stay together, subtract the “together” cases from total.

If there are position rules (odd/even, start/end), fix those first, then arrange the rest.

Example: Arrange A, B, C, D such that A and B stay together → Treat AB as one block → (AB, C, D) → 3! = 6 ways → multiply by 2! for AB internal arrangement → Total = 12 ways",How many ways can the letters of the word APPLE be arranged if all letters are used?,Easy,40,50,60,70,Option C,"Total letters = 5
But P repeats twice → arrangements = 5! / 2! = 60"
,,,,"How many 4-digit numbers can be formed using digits 1, 2, 3, 4, 5 (without repetition)?",Medium,120,240,360,490,Option A,"Here 4-digit numbers can be formed using digits 1, 2, 3, 4, 5 (without repetition)
Choices: 5 digits for 1st, then 4, 3, 2 for next → 5 × 4 × 3 × 2 = 120"
,,,,"Riya is playing a word game with her friends. She has the letters of the word DELHI, and she wants to form different 5-letter meaningful or meaningless words using all the letters. However, there is one special rule: the word must always start with a consonant. How many such words can Riya form?",Hard,102,72,54,64,Option B,"Consonants in DELHI = D, L, H (3 choices for 1st letter)
Remaining 4 letters can be arranged = 4! = 24
Total = 3 × 24 = 72"
,,,,,,,,,,,
,Combinations,Do you know how to calculate the number of ways to choose r items from n distinct items when order does not matter?,"If you need to choose r items from n distinct items and order does not matter,

Use the combination formula:
C(n, r) = n! / (r! × (n-r)!)

Example: Choose 2 students from 5 → C(5, 2) = 5! / (2! × 3!) = 10 ways","From 5 students, how many ways can you choose 2 to represent the class?",Easy,6,10,12,18,Option B,"C(5,2) = 5! / (2! * 3!) = (54) / (21) = 10"
,,,,How many ways to choose 3 speakers from 8 volunteers?,Medium,10,56,64,82,Option B,"C(8,3) = 8! / (3! * 5!) = (876) / (321) = 56"
,,,,"In a school, there are 12 enthusiastic students who wish to volunteer for the annual cultural fest. The teacher has to form a committee of 5 students from these 12 to handle different responsibilities. In how many different ways can the teacher select this committee?",Hard,120,500,792,890,Option C,"C(12,5) = 12! / (5! * 7!) = 792"
,,Do you know how to calculate the number of ways if you choose a items from group 1 and b items from group 2 independently?,"Identify groups: Determine how many items are in each group (n1, n2, …).

Choose items from each group: Use the combination formula C(n, r) for each group.

Multiply the results: Since choices are independent, multiply the combinations of all groups:  C(n1,a) * C(n2,b)

Example: 

Group 1: 3 boys, choose 2 → C(3, 2) = 3

Group 2: 2 girls, choose 1 → C(2, 1) = 2

Total ways = 3 × 2 = 6","From 3 men and 2 women, choose 2 men and 1 woman. How many ways?",Easy,3,6,12,18,Option B,"Ways = C(3,2) * C(2,1) = 3 * 2 = 6"
,,,,From 6 men and 5 women choose a team of 3 men and 2 women. How many teams?,Medium,200,250,300,350,Option A,"Ways = C(6,3) * C(5,2)
C(6,3) = (654)/(321) = 20
C(5,2) = (54)/(21) = 10
Total = 20 * 10 = 200"
,,,,"In a company, there are 10 men and 8 women available to volunteer for a project. The manager wants to form a committee of exactly 5 members, but with a condition: the committee must have exactly 3 men and 2 women. In how many different ways can such a committee be formed?",Hard,1290,1890,3360,4460,Option C,"Ways = C(10,3) * C(8,2)
C(10,3) = (1098)/(321) = 120
C(8,2) = (87)/(21) = 28
Total = 120 * 28 = 3360"
,,Do you know how to calculate selections when the condition is at least k or at most k from n items?,"At least k from n: Add all combinations starting from k up to n.
Number = sum_{i = k to n} C(n, i)

At most k from n: Add all combinations from 0 up to k.
Number = sum_{i = 0 to k} C(n, i)


Example:
If n = 5 and k = 3:
At least 3 → C(5,3) + C(5,4) + C(5,5) = 10 + 5 + 1 = 16
At most 3 → C(5,0) + C(5,1) + C(5,2) + C(5,3) = 1 + 5 + 10 + 10 = 26","From 5 boys, how many ways can we select at least 1 boy?",Easy,30,31,32,33,Option B,"Total boys = 5, at least 1 → i = 1 to 5
Number = C(5,1) + C(5,2) + C(5,3) + C(5,4) + C(5,5)
= 5 + 10 + 10 + 5 + 1 = 31"
,,,,"In a classroom, there are 6 students who volunteered to represent their class in a quiz competition. The teacher decides to select at most 2 students for the event. In how many different ways can the teacher make the selection?",Medium,21,22,23,24,Option B,"At most 2 → i = 0 to 2
Number = C(6,0) + C(6,1) + C(6,2)
= 1 + 6 + 15 = 22"
,,,,"For a school science project, there are 7 boys and 4 girls available. The teacher wants to form a team of 4 students. To ensure fair representation, the team must include at least 2 girls. In how many different ways can such a team be formed?",Hard,140,145,150,155,Option D,"Number_of_girls = 4, number_of_boys = 7, team_size = 4, at least 2 girls → g = 2 to min(4,4) = 2 to 4

g = 2 → C(4,2) * C(7,2) = 6 * 21 = 126

g = 3 → C(4,3) * C(7,1) = 4 * 7 = 28

g = 4 → C(4,4) * C(7,0) = 1 * 1 = 1

Total = 126 + 28 + 1 = 155"
,,,,,,,,,,,
Probability,Coins & Dices,"Do you know how to find the probability when one, two, or three coins are tossed?","Probability = (Favorable outcomes) / (Total outcomes).

1 coin → {H, T} → P(H) = 1/2.
    
2 coins → {HH, HT, TH, TT} → P(2 Heads) = 1/4.
    
3 coins → 8 outcomes → P(3 Heads) = 1/8.",A coin is tossed once. What is the probability of getting a head?,Easy,1 / 4,1 / 2,1 / 3,1,Option B,"Total outcomes = {H, T} = 2.
Favourable = {H} = 1.
Probability = (Favourable outcomes) ÷ (Total outcomes).
Probability = 1/2."
,,,,Two coins are tossed together. What is the probability of getting exactly one head?,Medium,1 / 4,1 / 2,3 / 4,1 / 3,Option B,"Total outcomes = {HH, HT, TH, TT} = 4.
Favourable = {HT, TH} = 2.
Probability = (Favourable outcomes) ÷ (Total outcomes).
Probability = 2/4 = 1/2."
,,,,Three coins are tossed simultaneously. What is the probability of getting more heads than tails?,Hard,1 / 8,3 / 8,1 / 2,5 / 8,Option C,"Total outcomes = 8
Favourable (more heads than tails): {HHH, HHT, HTH, THH} = 4 outcomes.Probability = Probability = (Favourable outcomes) ÷ (Total outcomes).
Probability = 4/8 = 1/2."
,,"Do you know how to find the probability when one, two, or three dice are rolled?","Probability = (Favorable outcomes) ÷ (Total outcomes).

1 dice → 6 outcomes → P(getting 4) = 1/6.
    
2 dice → 36 outcomes → P(sum = 7) = 6/36 = 1/6.
    
3 dice → 216 outcomes → Example: P(all even) = 27/216 = 1/8.",A player rolls one die. What is the probability of getting a number greater than 4?,Easy,1 / 3,1 / 6,1 / 2,2 / 3,Option A,"Numbers greater than 4 → {5, 6} → 2 outcomes.    
Total outcomes = 6.
Probability = (Favourable outcomes) ÷ (Total outcomes).
Probability = 2/6 = 1/3."
,,,,"In a treasure hunt, two dice are rolled. What is the probability that the sum is a multiple of 3?",Medium,12 / 36,18 / 36,24 / 36,6 / 36,Option B,"Total outcomes = 36.    
Multiples of 3 possible as sum: 3, 6, 9, 12.
Favourable outcomes for these sums = 18.
Probability = 18/36 = 1/2."
,,,,Three friends roll three dice together. What is the probability that the total sum of the numbers equals 6?,Hard,5 / 216,10 / 216,15 / 216,20 / 216,Option B,"Total outcomes = 6³ = 216. 
Possible combinations for sum = 6:  
    (1,1,4), (1,4,1), (4,1,1) → 3 ways  
    (1,2,3), (1,3,2), (2,1,3), (2,3,1), (3,1,2), (3,2,1) → 6 ways  
    (2,2,2) → 1 way
Total favourable outcomes = 10.
Probability = (Favourable outcomes) ÷ (Total outcomes).
Probability = 10/216 = 5/108."
,,"Do you recall the concept of “at least” and “at most” in probability, and how to apply them with multiples or specific conditions on dice and coin outcomes?","1. At least → means minimum this much or more.

Example: “At least one head” when tossing 2 coins.

Total outcomes = {HH, HT, TH, TT}.

Favorable = {HH, HT, TH} = 3 outcomes.

Probability = 3/4.

2. At most → means maximum this much or less.

Example: “At most one head” when tossing 2 coins.

Favorable outcomes = {TT, HT, TH} = 3.

Probability = 3/4.

3. Applying with conditions (like multiples)

Example: A die rolled once, the probability of a multiple of 2 or 3.

Multiples of 2 or 3 = {2, 3, 4, 6}.

Favorable = 4 outcomes. Total = 6.

Probability = 4/6 = 2/3.",A coin is tossed twice. What is the probability of getting at least one head?,Easy,1 / 2,1 / 3,3 / 4,2 / 3,Option C,"Total outcomes = {HH, HT, TH, TT} = 4.

Favorable = {HH, HT, TH} = 3.

Probability = 3/4."
,,,,A die is rolled once. What is the probability of getting a number that is at most 4?,Medium,1 / 2,2 / 3,1 / 3,5 / 6,Option B,"Numbers ≤ 4 are {1, 2, 3, 4} → 4 outcomes.

Total outcomes = 6.

Probability = 4/6 = 2/3."
,,,,Two dice are rolled together. What is the probability that the sum is at least 10?,Hard,1 / 6,5 / 18,1 / 3,2 / 9,Option A,"Total outcomes = 36.

Favorable sums ≥ 10:

10 → (4,6), (5,5), (6,4) → 3 outcomes.

11 → (5,6), (6,5) → 2 outcomes.

12 → (6,6) → 1 outcome.

Total favorable = 6.

Probability = 6/36 = 1/6."
,,,,,,,,,,,
,Cards & Miscellaneous,"Do you know how to find probabilities of drawing different types of cards (like red, black, face cards, suits) from a standard deck of 52 cards?","Probability = (Favorable outcomes) ÷ (Total outcomes).

P(Red card) = 26/52 = 1/2.
P(Black card) = 26/52 = 1/2.
P(Face card) = 12/52 = 3/13.
P(Heart) = 13/52 = 1/4.","From a deck of 52 cards, one card is drawn. What is the probability of getting a red card?",Easy,1 / 4,1 / 2,1 / 13,3 / 13,Option B,"Red cards = 26 (hearts + diamonds).
Total = 52.
P = 26/52 = 1/2."
,,,,"From a deck of 52 cards, one card is drawn. What is the probability that it is a face card (J, Q, K)?",Medium,1 / 4,1 / 12,3 / 13,1 / 26,Option C,"Face cards = 12 (3 per suit × 4 suits).
Total = 52.
P = 12/52 = 3/13."
,,,,"From a deck of 52 cards, one card is drawn. What is the probability that it is a black king?",Hard,1 / 13,1 / 26,1 / 52,1 / 221,Option B,"Kings = 4, but only 2 black kings (spades, clubs).
Total = 52.
P = 2/52 = 1/26."
,,"Do you know how to find probabilities when objects like balls or pens are drawn from a bag or box, with and without replacement?","With replacement: Probability remains the same for each draw.
Without replacement: Total outcomes reduce after each draw, so probability changes.
   
Example: Bag with 3 red & 2 blue balls → P(Red) = 3/5.",A bag contains 3 red and 2 blue balls. One ball is drawn at random. What is the probability that it is red?,Easy,2 / 5,3 / 5,1 / 2,4 / 5,Option B,"Total balls = 5.
Favourable = 3 red.
P(Red) = 3/5."
,,,,A box has 4 pens: 2 black and 2 blue. Two pens are drawn without replacement. What is the probability that both are black?,Medium,1 / 6,1 / 3,1 / 2,2 / 3,Option A,"Total ways = 4C2 = 6.
Favourable ways (2 black) = 2C2 = 1.
P(Both black) = 1/6."
,,,,A bag contains 5 red and 3 green balls. Two balls are drawn with replacement. What is the probability that both are green?,Hard,3 / 8,9 / 64,9 / 25,15 / 64,Option B,"Total balls = 8 (5 red + 3 green).

Probability of green in one draw = 3/8.

With replacement → draws are independent.

Probability of both green = (3/8) × (3/8) = 9/64."
,,Do you know how to calculate the probability of an event using combinations?,"Formula:
P(E) = (Favourable cases using nCr) / (Total cases using nCr)

Example:
Drawing 2 aces from 52 cards:

Favourable cases = C(4,2) = 6

Total cases = C(52,2) = 1326

Probability = 6 / 1326 = 1/221","From a deck of 52 cards, one card is drawn at random. What is the probability that it is an ace?",Easy,1 / 13,1 / 26,1 / 52,1 / 221,Option A,"Number of aces = 4.
Total = 52.
P(Ace) = 4/52 = 1/13."
,,,,"From 52 cards, two are drawn together. What is the probability that both are kings?",Medium,1 / 221,1 / 325,1 / 663,1 / 1,Option A,"Favourable = 4C2 = 6.
Total = 52C2 = 1326.
P = 6/1326 = 1/221."
,,,,"In a group of 10 people, a committee of 3 is chosen. What is the probability that two specific persons are always included?",Hard,1 / 12,1 / 15,1 / 20,1 / 30,Option B,"Total committees = 10C3 = 120.
Fix 2 specific persons, choose 1 from remaining 8 → 8C1 = 8.
P = 8/120 = 1/15."
,,,,,,,,,,,
,,,,,,,,,,,
,,,           ,,,,,,,,
